Bubble
250
1,863425
2,151819
3,219704
4,261641
5,282048
6,251157
7,266237
8,268079
9,201019
10,180397
11,167991
12,181421
13,184164
14,83286
15,53664
16,53500
17,54385
18,55040
19,54990
20,54187
21,52688
22,52479
23,54573
24,54109
25,54142
26,53228
27,51950
28,55296
29,52478
30,52792

1000
1,596338
2,602701
3,613739
4,603214
5,612662
6,602399
7,610172
8,592032
9,599415
10,599886
11,600374
12,608797
13,604323
14,592535
15,597564
16,595962
17,610257
18,604764
19,593741
20,594762
21,609512
22,592387
23,612681
24,604792
25,590662
26,595158
27,610362
28,603884
29,601027
30,597771

2000
1,2206968
2,2231785
3,2205353
4,2223757
5,2232046
6,2280037
7,2282803
8,2221583
9,2210581
10,2250252
11,2212358
12,2263136
13,2238479
14,2251589
15,2181263
16,2150478
17,2167581
18,2237093
19,2180571
20,2167447
21,2157965
22,2159705
23,2166074
24,2159434
25,2132568
26,2196631
27,2164670
28,2183088
29,2181287
30,2198897

3000
1,4897244
2,4870001
3,5024767
4,5677618
5,4922473
6,4989212
7,4858143
8,4755281
9,4488962
10,4465846
11,4376361
12,4432261
13,4378480
14,4354850
15,4403848
16,4451394
17,4544591
18,4405998
19,4414982
20,4498133
21,4764643
22,4405206
23,4515984
24,4487846
25,4497205
26,4516911
27,4528459
28,4371934
29,4411888
30,4418126

4000
1,8173739
2,8233525
3,8195808
4,8318558
5,8210937
6,8293201
7,8235958
8,8200219
9,8216066
10,8279506
11,8339890
12,8325045
13,8162732
14,8233414
15,8183533
16,8157342
17,8250737
18,8192165
19,8341671
20,8244155
21,8467767
22,8243966
23,8169938
24,8321827
25,8381496
26,8369374
27,8074928
28,8341601
29,8266739
30,8223827

5000
1,13610426
2,13586539
3,13715823
4,13663943
5,13496203
6,13838640
7,13788566
8,13531822
9,13672600
10,13715091
11,13486558
12,13683519
13,13585740
14,13817737
15,13390361
16,13510200
17,13676019
18,13457703
19,13678242
20,13780007
21,13635192
22,13656546
23,13394818
24,13570124
25,13788125
26,13562717
27,13606758
28,13368792
29,13660543
30,13579602

Merge
250
1,145583
2,117468
3,97206
4,61723
5,24390
6,31574
7,22866
8,24076
9,37761
10,40700
11,35248
12,44587
13,40411
14,38961
15,38856
16,40374
17,39178
18,41095
19,39412
